year,sale_price_sqr_foot,gross_rent
2010,369.34435332942974,1239.0
2011,341.9034291801058,1530.0
2012,399.3899684488192,2324.0
2013,483.6003042611177,2971.0
2014,556.2772734475082,3528.0
2015,632.5403520321692,3739.0
2016,697.643709116537,4390.0
